tweet_id,timestamp,rating_numerator,dog_name,jpg_url,p1_breed,p1_confidence,p1_is_dog,p2_breed,p2_confidence,p2_is_dog,p3_breed,p3_confidence,p3_dog,tweet_url,tweet_text,tweet_retweet_count,tweet_favorite_count,tweet_source,language
892177421306343426,2017-08-01 00:17:27+00:00,13,Tilly,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True,https://t.co/0Xxu71qeIV,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",5522,30445,Twitter for iPhone,en
891815181378084864,2017-07-31 00:18:03+00:00,12,Archie,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,https://t.co/wUnZnhtVJB,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,3646,22894,Twitter for iPhone,en
891689557279858688,2017-07-30 15:58:51+00:00,13,Darla,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,paper_towel,0.17027799999999998,False,Labrador_retriever,0.168086,True,spatula,0.0408359,False,https://t.co/tD36da7qLQ,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,7599,38474,Twitter for iPhone,en
891327558926688256,2017-07-29 16:00:24+00:00,12,Franklin,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,0.555712,True,English_springer,0.22577,True,German_short-haired_pointer,0.175219,True,https://t.co/AtUZn91f7f,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",8181,36696,Twitter for iPhone,en
890971913173991426,2017-07-28 16:27:12+00:00,13,Jax,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,0.34170300000000003,True,Border_collie,0.199287,True,ice_lolly,0.193548,False,https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

",1774,10769,Twitter for iPhone,en
890609185150312448,2017-07-27 16:25:51+00:00,13,Zoey,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_terrier,0.487574,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True,https://t.co/9TwLuAGH0b,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,3792,25496,Twitter for iPhone,en
890240255349198849,2017-07-26 15:59:51+00:00,14,Cassie,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,https://t.co/t1bfwz5S2A,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,6434,29084,Twitter for iPhone,en
890006608113172480,2017-07-26 00:31:25+00:00,13,Koda,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,0.957979,True,Pomeranian,0.0138835,True,chow,0.00816748,True,https://t.co/dVPW0B0Mme,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,6454,28054,Twitter for iPhone,en
889880896479866881,2017-07-25 16:11:53+00:00,13,Bruno,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French_bulldog,0.377417,True,Labrador_retriever,0.151317,True,muzzle,0.0829811,False,https://t.co/u1XPQMl29g,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy ,4385,25517,Twitter for iPhone,en
889638837579907072,2017-07-25 00:10:02+00:00,12,Ted,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French_bulldog,0.99165,True,boxer,0.00212864,True,Staffordshire_bullterrier,0.00149818,True,https://t.co/f8dEDcrKSR,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist ,3936,24632,Twitter for iPhone,en
889531135344209921,2017-07-24 17:02:04+00:00,13,Stuart,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden_retriever,0.953442,True,Labrador_retriever,0.0138341,True,redbone,0.00795775,True,https://t.co/y70o6h3isq,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek ,1984,13876,Twitter for iPhone,en
889278841981685760,2017-07-24 00:19:32+00:00,13,Oliver,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,whippet,0.626152,True,borzoi,0.194742,True,Saluki,0.0273507,True,https://t.co/WpHvrQedPb,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek ,4685,22995,Twitter for iPhone,en
888917238123831296,2017-07-23 00:22:39+00:00,12,Jim,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,golden_retriever,0.714719,True,Tibetan_mastiff,0.120184,True,Labrador_retriever,0.105506,True,https://t.co/chxruIOUJN,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both ,3941,26605,Twitter for iPhone,en
888804989199671297,2017-07-22 16:56:37+00:00,13,Zeke,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,golden_retriever,0.46976,True,Labrador_retriever,0.184172,True,English_setter,0.0734817,True,https://t.co/HTQ77yNQ5K,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best ,3725,23345,Twitter for iPhone,en
888554962724278272,2017-07-22 00:23:06+00:00,13,Ralphus,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,Siberian_husky,0.700377,True,Eskimo_dog,0.166511,True,malamute,0.111411,True,https://t.co/YnYAFCTTiK,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af ,3045,18003,Twitter for iPhone,en
888078434458587136,2017-07-20 16:49:33+00:00,12,Gerald,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,French_bulldog,0.995026,True,pug,0.000931908,True,bull_mastiff,0.000903211,True,https://t.co/DK7iDPfuRX,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway ,3052,19902,Twitter for iPhone,en
887705289381826560,2017-07-19 16:06:48+00:00,13,Jeffrey,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,basset,0.821664,True,redbone,0.0875815,True,Weimaraner,0.026236400000000003,True,https://t.co/PhrUk20Q64,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic ,4753,27668,Twitter for iPhone,en
887473957103951883,2017-07-19 00:47:34+00:00,13,Canela,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,Pembroke,0.809197,True,Rhodesian_ridgeback,0.05495,True,beagle,0.0389148,True,https://t.co/cLyzpcUcMX,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her ,15822,62699,Twitter for iPhone,en
