tweet_id,tweet_url,full_text,tweet_retweet_count,tweet_favorite_count,tweet_source,retweeted_status,language,reply_status,truncated
892420643555336193,https://t.co/MgUWQ76dJU,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,7428,35179,Twitter for iPhone,False,en,False,False
892177421306343426,https://t.co/0Xxu71qeIV,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",5522,30445,Twitter for iPhone,False,en,False,False
891815181378084864,https://t.co/wUnZnhtVJB,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,3646,22894,Twitter for iPhone,False,en,False,False
891689557279858688,https://t.co/tD36da7qLQ,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,7599,38474,Twitter for iPhone,False,en,False,False
891327558926688256,https://t.co/AtUZn91f7f,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",8181,36696,Twitter for iPhone,False,en,False,False
891087950875897856,https://t.co/kQ04fDDRmh,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,2743,18513,Twitter for iPhone,False,en,False,False
890971913173991426,https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

",1774,10769,Twitter for iPhone,False,en,False,False
890729181411237888,https://t.co/v0nONBcwxq,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,16611,59252,Twitter for iPhone,False,en,False,False
890609185150312448,https://t.co/9TwLuAGH0b,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,3792,25496,Twitter for iPhone,False,en,False,False
890240255349198849,https://t.co/t1bfwz5S2A,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,6434,29084,Twitter for iPhone,False,en,False,False
890006608113172480,https://t.co/dVPW0B0Mme,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,6454,28054,Twitter for iPhone,False,en,False,False
889880896479866881,https://t.co/u1XPQMl29g,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy ,4385,25517,Twitter for iPhone,False,en,False,False
889665388333682689,https://t.co/BxvuXk0UCm,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 ,8807,43808,Twitter for iPhone,False,en,False,False
889638837579907072,https://t.co/f8dEDcrKSR,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist ,3936,24632,Twitter for iPhone,False,en,False,False
889531135344209921,https://t.co/y70o6h3isq,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek ,1984,13876,Twitter for iPhone,False,en,False,False
889278841981685760,https://t.co/WpHvrQedPb,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek ,4685,22995,Twitter for iPhone,False,en,False,False
888917238123831296,https://t.co/chxruIOUJN,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both ,3941,26605,Twitter for iPhone,False,en,False,False
888804989199671297,https://t.co/HTQ77yNQ5K,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best ,3725,23345,Twitter for iPhone,False,en,False,False
888554962724278272,https://t.co/YnYAFCTTiK,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af ,3045,18003,Twitter for iPhone,False,en,False,False
888078434458587136,https://t.co/DK7iDPfuRX,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway ,3052,19902,Twitter for iPhone,False,en,False,False
887705289381826560,https://t.co/PhrUk20Q64,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic ,4753,27668,Twitter for iPhone,False,en,False,False
887517139158093824,https://t.co/20VrLAA8ba,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) ,10361,42358,Twitter for iPhone,False,en,False,False
887473957103951883,https://t.co/cLyzpcUcMX,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her ,15822,62699,Twitter for iPhone,False,en,False,False
887343217045368832,https://t.co/WZqNqygEyV,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) ,9265,30748,Twitter for iPhone,False,en,False,False
887101392804085760,https://t.co/4Ad1jzJSdp,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof ,5250,28004,Twitter for iPhone,False,en,False,False
886983233522544640,https://t.co/I6oNy0CgiT,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in ,6726,31743,Twitter for iPhone,False,en,False,False
886736880519319552,https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

",2798,10918,Twitter for iPhone,False,en,False,False
886680336477933568,https://t.co/BCoWue0abA,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal ,3938,20556,Twitter for iPhone,False,en,False,False
886366144734445568,https://t.co/RGE08MIJox,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe ,2785,19288,Twitter for iPhone,False,en,False,False
886258384151887873,https://t.co/xZDA9Qsq1O,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles ,5567,25556,Twitter for iPhone,False,en,False,False
885984800019947520,https://t.co/BuveP0uMF1,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution ,5908,29756,Twitter for iPhone,False,en,False,False
885528943205470208,https://t.co/tp1kQ8i9JF,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly ,5624,32821,Twitter for iPhone,False,en,False,False
885518971528720385,https://t.co/gzLHboL7Sk,I have a new hero and his name is Howard. 14/10 ,3286,18712,Twitter for iPhone,False,en,False,False
885167619883638784,https://t.co/44ItaMubBf,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 ,3849,19989,Twitter for iPhone,False,en,False,False
884925521741709313,https://t.co/MYJvdlNRVa,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl ",15889,70229,Twitter for iPhone,False,en,False,False
884876753390489601,https://t.co/74TKAUsLkO,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola ,4915,25405,Twitter for iPhone,False,en,False,False
884562892145688576,https://t.co/1r4MFCbCX5,This is Kevin. He's just so happy. 13/10 what is your secret Kevin ,4134,22195,Twitter for iPhone,False,en,False,False
884441805382717440,https://t.co/vvBOcC2VdC,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales) ",5018,24777,Twitter for iPhone,False,en,False,False
884247878851493888,https://t.co/uF3pQ8Wubj,OMG HE DIDN'T MEAN TO HE WAS JUST TRYING A LITTLE BARKOUR HE'S SUPER SORRY 13/10 WOULD FORGIVE IMMEDIATE ,17869,66175,Twitter for iPhone,False,en,False,False
884162670584377345,https://t.co/YSI00BzTBZ,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo ,2634,18645,Twitter for iPhone,False,en,False,False
883838122936631299,https://t.co/V85xujjDDY,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy ,3012,19951,Twitter for iPhone,False,en,False,False
883482846933004288,https://t.co/qjrljjt948,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10 ",8691,41835,Twitter for iPhone,False,en,False,False
883360690899218434,https://t.co/rf661IFEYP,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck ,3238,20721,Twitter for iPhone,False,en,False,False
883117836046086144,https://t.co/Se5fZ9wp5E,"Please only send dogs. We don't rate mechanics, no matter how h*ckin good. Thank you... 13/10 would sneak a pat ",5844,33880,Twitter for iPhone,False,en,False,False
882992080364220416,https://t.co/tyER0KpdXj,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy ,3414,21821,Twitter for iPhone,False,en,False,False
882762694511734784,https://t.co/D43I96SlVu,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl ,4297,25801,Twitter for iPhone,False,en,False,False
882627270321602560,https://t.co/Nx52PGwH94,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi) ,5336,25618,Twitter for iPhone,False,en,False,False
882268110199369728,https://t.co/fYP5RlutfA,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸 ,10207,40908,Twitter for iPhone,False,en,False,False
882045870035918850,https://t.co/zeDpnsKX7w,"This is Koko. Her owner, inspired by Barney, recently built a cart for her to use during walks if she got tired. 13/10 rest easy Koko ",4283,26775,Twitter for iPhone,False,en,False,False
881906580714921986,https://t.co/503CgWbhxQ,This is Rey. He's a Benebop Cumberfloof. 12/10 dangerously pettable ,2998,22266,Twitter for iPhone,False,en,False,False
881666595344535552,https://t.co/7CSWCl8I6s,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely ,9405,46297,Twitter for iPhone,False,en,False,False
881536004380872706,https://t.co/ghXBIIeQZF,"Here is a pupper approaching maximum borkdrive. Zooming at never before seen speeds. 14/10 paw-inspiring af 
(IG: puffie_the_chow) ",14109,45200,Twitter for iPhone,False,en,False,False
881268444196462592,https://t.co/cgwJwowTMC,Meet Elliot. He's a Canadian Forrest Pup. Unusual number of antlers for a dog. Sneaky tongue slip to celebrate #Canada150. 12/10 would pet ,4674,21275,Twitter for iPhone,False,en,False,False
880935762899988482,https://t.co/D0wb1GlKAt,This is Louis. He's crossing. It's a big deal. 13/10 h*ckin breathtaking ,2461,15630,Twitter for iPhone,False,en,False,False
880872448815771648,https://t.co/WiAMbTkDPf,Ugh not again. We only rate dogs. Please don't send in well-dressed  floppy-tongued street penguins. Dogs only please. Thank you... 12/10 ,3367,19466,Twitter for iPhone,False,en,False,False
880465832366813184,https://t.co/4VsFysDmiw,This is Bella. She had her first beach experience this morning. Complete success. 12/10 would perform a sandy boop ,5477,26008,Twitter for iPhone,False,en,False,False
880221127280381952,https://t.co/fUod0tVmvK,Meet Jesse. He's a Fetty Woof. His tongue ejects without warning. A true bleptomaniac. 12/10 would snug well ,3660,24615,Twitter for iPhone,False,en,False,False
